Player,Team,FantPos,Age,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,PPR,PosRank,OvRank,Year,adp,draft_pick,draft_year,Experience,Rookie,Soph,Third
CarlosHyde,49ers,RB,24,14,0.0,0.0,0.0,0.0,0.0,5.93,23.79,0.29,1.14,0.86,4.86,0.0,5.29,54,,2014,91.5,57,2014,0,1,0,0
TobyGerhart,Jaguars,RB,27,14,0.0,0.0,0.0,0.0,0.0,7.21,23.29,0.14,1.71,1.43,13.29,0.0,5.8,55,,2014,42.8,51,2010,4,0,0,0
CordarrellePatterson,Vikings,WR,23,16,0.0,0.0,0.0,0.0,0.0,0.62,7.31,0.06,4.19,2.06,24.0,0.06,5.82,81,,2014,36.2,29,2013,1,0,1,0
BrianHartline,Dolphins,WR,28,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,2.44,29.62,0.12,6.15,82,,2014,136.4,108,2009,5,0,0,0
JamesStarks,Packers,RB,28,16,0.0,0.0,0.0,0.0,0.0,5.31,20.81,0.12,1.81,1.12,8.75,0.0,4.83,59,,2014,157.2,193,2010,4,0,0,0
RyanMathews,Chargers,RB,27,6,0.0,0.0,0.0,0.0,0.0,12.33,55.0,0.5,1.67,1.5,11.5,0.0,11.15,60,,2014,50.8,12,2010,4,0,0,0
DevontaFreeman,Falcons,RB,22,16,0.0,0.0,0.0,0.0,0.0,4.06,15.5,0.06,2.31,1.88,14.06,0.06,5.46,61,,2014,102.9,103,2014,0,1,0,0
JordanCameron,Browns,TE,26,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,2.4,42.4,0.2,7.84,24,,2014,51.0,102,2011,3,0,0,0
ShonnGreene,Titans,RB,29,13,0.0,0.0,0.0,0.0,0.0,7.23,30.15,0.15,0.23,0.08,1.0,0.0,3.96,68,,2014,139.1,65,2009,5,0,0,0
MarqiseLee,Jaguars,WR,23,13,0.0,0.0,0.0,0.0,0.0,0.23,0.69,0.0,5.31,2.85,32.46,0.08,6.62,92,,2014,143.6,39,2014,0,1,0,0
BernardPierce,Ravens,RB,23,13,0.0,0.0,0.0,0.0,0.0,7.15,28.15,0.15,0.46,0.15,1.0,0.0,3.84,72,,2014,94.5,84,2012,2,0,0,1
StevanRidley,Patriots,RB,25,6,0.0,0.0,0.0,0.0,0.0,15.67,56.67,0.33,0.83,0.67,3.33,0.0,8.67,71,,2014,101.6,73,2011,3,0,0,0
ZacStacy,Rams,RB,23,13,0.0,0.0,0.0,0.0,0.0,5.85,22.54,0.08,1.77,1.38,11.69,0.0,4.96,74,,2014,32.5,160,2013,1,0,1,0
JordanReed,WFT,TE,24,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,4.55,42.27,0.0,8.59,30,,2014,81.4,85,2013,1,0,1,0
VernonDavis,49ers,TE,30,14,0.0,0.0,0.0,0.0,0.0,0.07,0.29,0.0,3.57,1.86,17.5,0.14,4.49,35,,2014,62.8,6,2006,8,0,0,0
DexterMcCluster,Titans,RB,25,14,0.0,0.0,0.0,0.0,0.0,2.86,9.36,0.0,2.57,1.86,14.07,0.07,4.49,83,,2014,148.8,36,2010,4,0,0,0
KyleRudolph,Vikings,TE,25,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,2.67,25.67,0.22,6.57,36,,2014,73.2,43,2011,3,0,0,0
EricEbron,Lions,TE,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,1.92,19.08,0.08,4.29,44,,2014,156.0,10,2014,0,1,0,0
MonteeBall,Broncos,RB,24,5,0.0,0.0,0.0,0.0,0.0,11.0,34.4,0.2,2.6,1.8,12.4,0.0,7.28,92,,2014,10.4,58,2013,1,0,1,0
DeAngeloWilliams,Panthers,RB,31,6,0.0,0.0,0.0,0.0,0.0,10.33,36.5,0.0,1.0,0.83,7.33,0.0,4.88,95,,2014,116.4,27,2006,8,0,0,0
LadariusGreen,Chargers,WR,24,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,1.36,16.14,0.0,2.97,117,,2014,137.1,110,2012,2,0,0,1
KnowshonMoreno,Dolphins,RB,27,3,0.0,0.0,0.0,0.0,0.0,10.33,49.33,0.33,0.33,0.33,2.67,0.0,7.53,98,,2014,85.7,12,2009,5,0,0,0
ChristineMichael,Seahawks,RB,24,10,0.0,0.0,0.0,0.0,0.0,3.4,17.5,0.0,0.2,0.1,1.2,0.0,1.97,104,,2014,151.3,62,2013,1,0,1,0
DennisPitta,Ravens,TE,29,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.33,41.67,0.0,9.5,63,,2014,91.4,114,2010,4,0,0,0
AdrianPeterson,Vikings,RB,29,1,0.0,0.0,0.0,0.0,0.0,21.0,75.0,0.0,3.0,2.0,18.0,0.0,11.3,128,,2014,5.3,199,2002,12,0,0,0
AdrianPeterson,Vikings,RB,29,1,0.0,0.0,0.0,0.0,0.0,21.0,75.0,0.0,3.0,2.0,18.0,0.0,11.3,128,,2014,5.3,7,2007,7,0,0,0
JamesWhite,Patriots,RB,22,3,0.0,0.0,0.0,0.0,0.0,3.0,12.67,0.0,1.67,1.67,7.67,0.0,3.7,139,,2014,154.9,130,2014,0,1,0,0
AaronDobson,Patriots,WR,23,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,9.5,0.0,1.7,168,,2014,151.7,59,2013,1,0,1,0
